fips,name,trump_pct,medicaid_pct
1001,Autauga,72.76658791494815,15.186035829122646
1003,Baldwin,76.5457123352413,15.073922290812886
1005,Barbour,52.09666634826631,30.328345802161266
1007,Bibb,76.40322031976415,23.259508907077517
1009,Blount,89.33484445833984,19.5612655130222
1011,Bullock,24.203821656050955,32.037201939250025
1013,Butler,56.12688960146587,25.535625311410065
1015,Calhoun,68.66329600534849,22.15287121836885
1017,Chambers,56.42446043165468,23.282838763228884
1019,Cherokee,83.41563402590143,21.36179495169835
1021,Chilton,82.10027764167891,19.023425825881056
1023,Choctaw,56.30828304991772,24.121815166591286
1025,Clarke,54.79241807996317,25.49296342594459
1027,Clay,79.18176328502415,23.04560874481719
1029,Cleburne,87.42605794023964,23.393506668462884
1031,Coffee,76.44339577213849,18.721003903615443
1033,Colbert,67.21252257676099,18.77938617600237
1035,Conecuh,51.93621867881549,22.75706038383523
1037,Coosa,64.37547600913938,24.809302325581395
1039,Covington,83.23086574654957,21.303184372491305
1041,Crenshaw,72.0121270145205,21.855700065392718
1043,Cullman,87.10426953238455,18.223192019950122
1045,Dale,73.6465944850392,19.942760228959084
1047,Dallas,30.8056619838229,36.317789622122895
1049,DeKalb,82.88159219391311,23.4816835763208
1051,Elmore,74.1653247450349,16.16799777486391
1053,Escambia,66.92489053553385,19.979217569579017
1055,Etowah,73.25649850557015,21.263444785126783
1057,Fayette,81.36743847739119,24.197988987311465
1059,Franklin,78.62126245847176,23.025435073627847
1061,Geneva,84.99744854567103,24.550536334793776
1063,Greene,17.172131147540984,40.05320379366181
1065,Hale,39.46517412935324,29.34391252166956
1067,Henry,69.77205153617443,21.58463526371432
1069,Houston,72.06547995966133,20.43625664906572
1071,Jackson,79.451010293557,21.617079784593056
1073,Jefferson,44.30374337176314,18.64864325649136
1075,Lamar,83.59173126614988,24.183286868253628
1077,Lauderdale,70.58570524984187,16.447010721819883
1079,Lawrence,73.0528019421404,20.171545105566217
1081,Lee,58.48355324289165,14.166951830753439
1083,Limestone,72.13729091179827,15.810388538411651
1085,Lowndes,26.196888090963494,31.08261033572237
1087,Macon,15.656455142231948,27.381493260639107
1089,Madison,54.78949011255347,13.166630625997206
1091,Marengo,47.598690194651624,25.414612281488118
1093,Marion,86.82994454713494,19.788758451343806
1095,Marshall,82.77551251557368,20.23953505795721
1097,Mobile,55.06405691889983,20.260303580835906
1099,Monroe,56.420991140103204,26.606672120716297
1101,Montgomery,35.46486159494358,22.47303478210129
1103,Morgan,74.01863991785798,17.72975170217811
1105,Perry,26.657824933687003,33.12095469255664
1107,Pickens,57.17878851393837,24.80523527578685
1109,Pike,58.42193195625759,20.493519895589888
1111,Randolph,75.6356140178659,20.225771907906477
1113,Russell,47.82924802658911,21.842016568215282
1115,St. Clair,82.42447916666666,16.292663182581162
1117,Shelby,72.11566950441464,8.602715290853236
1119,Sumter,24.66073935423491,32.80066646470766
1121,Talladega,61.705630556470204,26.378333036780965
1123,Tallapoosa,69.76290670224776,23.970848926531417
1125,Tuscaloosa,57.7061668681983,16.88072841292812
1127,Walker,82.335776330076,21.233076250785814
1129,Washington,70.80745341614907,22.82292963424032
1131,Wilcox,28.450106157112526,40.56122448979592
1133,Winston,89.4792979734316,24.147047714969155
4001,Apache,29.78923393948158,41.419720205220216
4003,Cochise,56.16714985504348,21.136838857848012
4005,Coconino,35.30710558008832,19.61550059204672
4007,Gila,62.98911836553409,28.000915436548805
4009,Graham,65.34484162527482,28.52868128908705
4011,Greenlee,57.333333333333336,15.495936769453412
4012,La Paz,67.2660057133255,27.81480007957032
4013,Maricopa,47.668375606090954,18.256116718168926
4015,Mohave,72.90444441664687,26.00623597160297
4017,Navajo,51.067156400456646,38.070632851386584
4019,Pima,39.70875628498245,21.32438099805613
4021,Pinal,56.210921217173826,21.223490049913902
4023,Santa Cruz,23.71447696707844,30.499498152775107
4025,Yavapai,62.324159021406736,19.939396764719593
4027,Yuma,47.47217506130919,25.88409677237361
5001,Arkansas,61.59047005795235,30.0021630975557
5003,Ashley,66.03983669429667,30.573762705424144
5005,Baxter,74.27906506121623,20.228236222025043
5007,Benton,62.8676774353466,15.48722328389508
5009,Boone,75.94190304760723,22.971577631650455
5011,Bradley,59.23898165891048,32.9523980923243
5013,Calhoun,68.57646540326134,22.445044350173543
5015,Carroll,63.07863915225879,22.57676318284589
5017,Chicot,41.09195402298851,38.46153846153847
5019,Clark,51.65376495425756,20.771049930837535
5021,Clay,72.71153846153847,26.090658980741516
5023,Cleburne,78.26230864708316,18.4253086663248
5025,Cleveland,73.40488968395945,24.561195445920305
5027,Columbia,61.39304602227973,22.27660642570281
5029,Conway,61.170682477608175,23.01629006831319
5031,Craighead,64.35217721305484,24.14266937507468
5033,Crawford,74.32516703786192,22.557767101349803
5035,Crittenden,43.65596790371114,30.495488171693356
5037,Cross,66.68606342740763,27.63096893834029
5039,Dallas,54.45687477444966,22.71117166212534
5041,Desha,45.078693915903216,38.13586868194377
5043,Drew,60.16679302501895,24.89099629387399
5045,Faulkner,61.745954930881396,16.727512981017647
5047,Franklin,74.43131462333825,23.236632536973833
5049,Fulton,72.73679798826488,24.24418604651163
5051,Garland,63.93089082220315,22.45011028527822
5053,Grant,76.89724647414373,18.87467173269263
5055,Greene,73.42465753424658,23.619917941066763
5057,Hempstead,62.43438785643354,28.79775484338222
5059,Hot Spring,68.41929002009377,25.073211102622867
5061,Howard,67.54385964912281,25.237347686327276
5063,Independence,72.98369325694138,23.137911168417876
5065,Izard,74.19236417033774,23.189091195712148
